6120|La familia P. Luche|A family that deals with the conflicts and problems of daily life but in a comical and exaggerated way with the particularity that they live in a city that is built entirely of stuffed animals and with all the stuffed accessories.
6166|Crash Landing on You|A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.
6176|Mr. Pickles|The Goodman family lives with their lovable pet dog, Mr. Pickles, a deviant border collie with a secret satanic streak.
6192|High School Musical: The Musical: The Series|A group of East High students countdown to the opening night of their school’s first-ever production of “High School Musical.” Showmances blossom; friendships are tested while new ones are made; rivalries flare and lives are changed forever as these young people discover the transformative power that only a high school drama club can provide.
6218|Pinky and the Brain|Pinky and Brain are genetically enhanced laboratory mice who reside in a cage in the Acme Labs research facility. Brain is self-centered and scheming; Pinky is good-natured but feebleminded. In each episode, Brain devises a new plan to take over the world, which ultimately ends in failure, usually due to Pinky's idiocy, the impossibility of Brain's plan, Brain's own arrogance, or just circumstances beyond their control.
6280|Rosario Tijeras|This is the story of the legendary Rosario Tijeras, the beautiful warrior from a slum who fell in love with Antonio and Emilio, two handsome and wealthy young men. Antonio, a young architect, desperately rushes the dying Rosario Tijeras to a nearby hospital. The beautiful Rosario has been shot four times by a hitman. While he waits for his beloved Rosario to be saved from her wounds, Antonio recalls how Rosario, a beautiful teenager, became the murderer Rosario Tijeras. And how he, a dashing young man, makes her his obsession. The woman of his dreams.
6304|Battlestar Galactica|A re-imagining of the original series in which a "rag-tag fugitive fleet" of the last remnants of mankind flees pursuing robots while simultaneously searching for their true home, Earth.
6362|The Dragon Prince|An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.
6398|The King: Eternal Monarch|Korean emperor Lee Gon tries to close the doors to a parallel world which was opened by demons; a detective tries to protect the people and the one she loves.
6431|Happy Tree Friends|This action and adventure comedy is drawn in simple appearance and combines cute forest animals with extreme graphic violence. Each episode revolves around the characters enduring accidental events of bloodshed, pain, dismemberment and/or death.
6477|Heroes Reborn|The supernatural phenomenon begins again with a fresh crop of inspiring heroes who take on the ultimate struggle between those with extraordinary abilities and those with nefarious motives to hunt and harness their powers. Epic adventures await these newly empowered allies as they cross paths with some of the original characters, unlocking the mysterious fate of the universe and their place within it.
6484|Adventure Time: Distant Lands|Based on the animated series Adventure Time, these four specials explore the unseen corners of the world with both familiar and exciting brand-new characters.
6488|Motherland: Fort Salem|Set in an alternate America where witches ended their persecution over 300 years ago by cutting a deal with the government to fight for their country, the series follows three young women from basic training in combat magic into early deployment.
6494|The Flash|When a bolt of lightning crashes through a police crime lab, a mix of electrically charged substances bathes chemist Barry Allen, transforming him into the fastest man alive--The Flash.
6677|Taken|The show takes place from 1944 to 2002 and follows the lives of three families: the Crawfords, who seek to cover up the Roswell crash and the existence of aliens; the Keys, who are subject to frequent experimentation by the aliens; and the Clarkes, who sheltered one of the surviving aliens from the crash.
6715|Slasher|Thirty years ago, in the sleepy community of Waterbury, a killer known as “The Executioner” murdered Sarah Bennett's parents. Now Sarah and her husband Dylan have returned to town, only to find herself the centerpiece in a series of horrifying murders centered around the seven deadly sins.
6721|Scooby-Doo and Scrappy-Doo|Everyone’s favorite mystery-solving Great Dane is here to find clues, along with a little help from his energetic nephew and four human companions.
6761|American Dragon: Jake Long|American Dragon is a coming of age comedy-action series about Jake Long, a 13-year-old Asian-American boy who strives to find balance in his life as a skateboard-grinding, New York 'tween while learning to master his mystical powers (in his secret identity) as the American Dragon, the protector and guardian of all magical creatures secretly living amidst the human world.
6789|CatDog|The life and times of a cat and a dog with a unique twist: they're connected, literally. They share one body with a Dog's head at one end and Cat's head on the other. Adding to their dilemma is Cat's annoyance with Dog, mainly caused by Dog's stupidity and Cat's up-tight personality. Characters: Cat - Cat is the smarter one of the two brothers, and is always hatching some kind of plot to get his brother to calm down, so that Cat doesn't get beat around and hurt. Even though most of these plots involve messing with Dog's feeble mind, they often backfire on Cat, much to his dismay. It may not show all the time but, he deeply loves, and cares for his brother Dog. Dog - Dog is the more lovable of the two brothers, Dog loves to play and party and play some more, he loves baseball and playing fetch with frisbees, balls, sticks, etc, He is very friendly, and happy, but does have a breaking point. He's very sensitive, and if he fails at something he feels horrible, and worthless
6813|¡Mucha Lucha!|¡Mucha Lucha! is an American-Canadian animated television series created by Eddie Mort and Lili Chin. The show is set in a town centered around lucha libre and follows the adventures of three children, Rikochet, The Flea and Buena Girl, as they struggle through the Foremost World-Renowned International School of Lucha, where they study.
6877|Beast Wars: Transformers|Two spaceships, one manned by benevolent Maximals, the other by evil Predacons, crash-land on a pre-humanoid planet while en route to Earth. Their crews assume indigenous animal forms to protect themselves from an overabundance of natural energy, transforming into robots to do battle. Thus, the Beast Wars have begun...
6898|Marvel Zombies|After the Avengers are overtaken by a zombie plague, a desperate group of survivors discover the key to bringing an end to the super-powered undead, racing across a dystopian landscape and risking life and limb to save their world.
7038|My Wife and Kids|Michael Kyle is a loving husband and modern-day patriarch who rules his household with a unique and distinct parenting style. As he teaches his three children some of life's lessons, he does so with his own brand of humor.
